node;user;party
80820758;JLMelenchon;Not partisan
14389177;benoithamon;Not partisan
26110930;LCI;Not partisan
266215308;alexiscorbiere;#JLM2017
4897361049;jlm_2017;#JLM2017
8,31206E+17;AvecHamon2017;#Hamon2017
87886754;ECiotti;#Fillon2017
8,18848E+17;Action_Insoumis;#JLM2017
38170599;dupontaignan;#NDA2017
117761523;yjadot;#Hamon2017
4813171035;enmarchefr;#Macron2017
408398312;BrunoRetailleau;#Fillon2017
7,66022E+17;JeunesAvecHamon;#Hamon2017
504619030;charligarotte;#JLM2017
8,1627E+17;TeamMacron2017;Not partisan
144185179;J_Villumsen;#Fillon2017
8,01066E+17;allezfillon;#Fillon2017
3341083283;JeunesMacron;#Macron2017
8,52898E+17;joursheureuxFI;#JLM2017
49969223;vpecresse;#Fillon2017
49643178;ADMDFRANCE;Not partisan
462841023;JFDebat;#Hamon2017
51534469;RafikSmati;Not partisan
200659061;UPR_Asselineau;#Asselineau2017
391539340;MmeLenvie;#Fillon2017
150201042;JCheminade;Not partisan
30034424;florencedesruol;Not partisan
83416937;TwIttNTIN;#JLM2017
37509285;auroreberge;#Macron2017
311601642;ericcoquerel;#JLM2017
17508660;CecileDuflot;#Hamon2017
197492504;RaquelGarridoFI;#JLM2017
1243147873;fdg_helenefr;#JLM2017
264404407;linsurge_;#JLM2017
3577025416;audrey_crespo;Not partisan
276934698;valerieboyer13;#Fillon2017
359979086;jpraffarin;#Fillon2017
2158944727;JeunesFillon;#Fillon2017
431836689;MargoPch;Not partisan
577304386;MarineDauvret;Not partisan
429754596;demontvalon1;Not partisan
14658057;jccambadelis;#Hamon2017
523006365;Eric_Anceau;#NDA2017
329686497;Simonnet2;#JLM2017
7,11601E+17;Fillon_78;Not partisan
8,33436E+17;cyril_pouchin;#Hamon2017
1435970071;DLF_Officiel;#NDA2017
3291786911;STR_Trp;#JLM2017
260970438;Dominiq_Estrosi;#Fillon2017
304275943;Stef_Burlot;#JLM2017
1566019675;jfkbismuth;#JLM2017
477542308;Chamade69;#JLM2017
282119887;SylvainMaillard;#Macron2017
7,72216E+17;EMacron_2017;#Macron2017
48949826;B_Roger_Petit;Not partisan
57652561;francoisedegois;Not partisan
367186655;jechartier;#Fillon2017
7,72515E+17;OiseAvecFillon;#Fillon2017
7,82574E+17;LadroiteavecEM;#Macron2017
96111834;marinebrenier;#Fillon2017
969728082;OnZeLeft;#JLM2017
3145739224;Surfacerouge;Not partisan
3023497329;AQuatennens;#JLM2017
326680674;benlucas80;#Hamon2017
26725581;JeromeGuedj;#Hamon2017
2975377306;JadeJoPS;#JLM2017
461957277;cmoreldarleux;#JLM2017
866842382;NaimaCharai;#Hamon2017
127659284;LoudL;#JLM2017
115766269;GTatu;#JLM2017
2505060919;LeilaAdmi;#JLM2017
152796332;Antoine_Sillani;#Fillon2017
26031424;MartineAubry;Not partisan
3054061793;Mathilde_Klara;#JLM2017
8,25863E+17;Soutien_Fillon;Not partisan
3191965355;NilsGustau;#JLM2017
19822406;achabus;#JLM2017
560265542;diogene2607;#JLM2017
1900027512;Enthoven_R;Not partisan
1159754604;PoussiG;Not partisan
4018044316;rene_chiche;Not partisan
485505777;Bassounov;#JLM2017
8,33394E+17;Le12eAvecHamon;#Hamon2017
8,00061E+17;itsmyPresident;#JLM2017
61803793;LaDroiteRevient;Not partisan
2188542098;slegrain75;#JLM2017
8,01012E+17;Maxence7502;#Fillon2017
7,15614E+17;LeviatorARaison;#Marine2017
3000283630;BouledogueDuNet;Not partisan
1329993636;misterjul94;#JLM2017
3256684565;NessaAudrey88;#JLM2017
