A;user;party;node
0;JLMelenchon;Not partisan;266215308
1;benoithamon;Not partisan;4897361049
2;LCI;Not partisan;8,31206E+17
3;alexiscorbiere;#JLM2017;87886754
4;jlm_2017;#JLM2017;8,18848E+17
5;AvecHamon2017;#Hamon2017;38170599
6;ECiotti;#Fillon2017;117761523
7;Action_Insoumis;#JLM2017;4813171035
8;dupontaignan;#NDA2017;408398312
9;yjadot;#Hamon2017;7,66022E+17
10;enmarchefr;#Macron2017;504619030
11;BrunoRetailleau;#Fillon2017;144185179
12;JeunesAvecHamon;#Hamon2017;8,01066E+17
13;charligarotte;#JLM2017;3341083283
14;TeamMacron2017;Not partisan;8,52898E+17
15;J_Villumsen;#Fillon2017;49969223
16;allezfillon;#Fillon2017;462841023
17;JeunesMacron;#Macron2017;200659061
18;joursheureuxFI;#JLM2017;391539340
19;vpecresse;#Fillon2017;83416937
20;ADMDFRANCE;Not partisan;37509285
21;JFDebat;#Hamon2017;311601642
22;RafikSmati;Not partisan;17508660
23;UPR_Asselineau;#Asselineau2017;197492504
24;MmeLenvie;#Fillon2017;1243147873
25;JCheminade;Not partisan;264404407
26;florencedesruol;Not partisan;276934698
27;TwIttNTIN;#JLM2017;359979086
28;auroreberge;#Macron2017;2158944727
29;ericcoquerel;#JLM2017;14658057
30;CecileDuflot;#Hamon2017;523006365
31;RaquelGarridoFI;#JLM2017;329686497
32;fdg_helenefr;#JLM2017;8,33436E+17
33;linsurge_;#JLM2017;1435970071
34;audrey_crespo;Not partisan;3291786911
35;valerieboyer13;#Fillon2017;260970438
36;jpraffarin;#Fillon2017;304275943
37;JeunesFillon;#Fillon2017;1566019675
38;MargoPch;Not partisan;477542308
39;MarineDauvret;Not partisan;282119887
40;demontvalon1;Not partisan;7,72216E+17
41;jccambadelis;#Hamon2017;367186655
42;Eric_Anceau;#NDA2017;7,72515E+17
43;Simonnet2;#JLM2017;7,82574E+17
44;Fillon_78;Not partisan;96111834
45;cyril_pouchin;#Hamon2017;969728082
46;DLF_Officiel;#NDA2017;3023497329
47;STR_Trp;#JLM2017;326680674
48;Dominiq_Estrosi;#Fillon2017;26725581
49;Stef_Burlot;#JLM2017;2975377306
50;jfkbismuth;#JLM2017;461957277
51;Chamade69;#JLM2017;866842382
52;SylvainMaillard;#Macron2017;127659284
53;EMacron_2017;#Macron2017;115766269
54;B_Roger_Petit;Not partisan;2505060919
55;francoisedegois;Not partisan;152796332
56;jechartier;#Fillon2017;3054061793
57;OiseAvecFillon;#Fillon2017;3191965355
58;LadroiteavecEM;#Macron2017;19822406
59;marinebrenier;#Fillon2017;560265542
60;OnZeLeft;#JLM2017;485505777
61;Surfacerouge;Not partisan;8,33394E+17
62;AQuatennens;#JLM2017;8,00061E+17
63;benlucas80;#Hamon2017;2188542098
64;JeromeGuedj;#Hamon2017;8,01012E+17
65;JadeJoPS;#JLM2017;7,15614E+17
66;cmoreldarleux;#JLM2017;1329993636
67;NaimaCharai;#Hamon2017;3256684565
68;LoudL;#JLM2017;734327088
69;GTatu;#JLM2017;97220520
70;LeilaAdmi;#JLM2017;288854464
71;Antoine_Sillani;#Fillon2017;87786174
72;MartineAubry;Not partisan;2815916728
73;Mathilde_Klara;#JLM2017;1650144672
74;Soutien_Fillon;Not partisan;113691851
75;NilsGustau;#JLM2017;12700192
76;achabus;#JLM2017;1956909679
77;diogene2607;#JLM2017;7,96099E+17
78;Enthoven_R;Not partisan;251800523
79;PoussiG;Not partisan;94302775
80;rene_chiche;Not partisan;443098939
81;Bassounov;#JLM2017;204368725
82;Le12eAvecHamon;#Hamon2017;300812428
83;itsmyPresident;#JLM2017;85326869
84;LaDroiteRevient;Not partisan;156593609
85;slegrain75;#JLM2017;1589648886
86;Maxence7502;#Fillon2017;245701361
87;LeviatorARaison;#Marine2017;8,39919E+17
88;BouledogueDuNet;Not partisan;255128617
89;misterjul94;#JLM2017;7,83542E+17
90;NessaAudrey88;#JLM2017;7,57911E+17
91;RoseLaloba;#JLM2017;1166194854
92;cb75011;Not partisan;68383304
93;corinnelepage;Not partisan;125092198
94;jfchauffete;Not partisan;528383092
95;AdrienDerain;#Hamon2017;4792989496
96;JphTanguy;#NDA2017;35769552
97;davidytier;#Fillon2017;8,003E+17
98;KersausonDe;Not partisan;2778213698
99;poxxk;#JLM2017;1457314789
